C-2015-12
"December 1, 2015 - December 31, 2015"
"Total: $ 39,831.69"


Date,Description,Currency,Amount,Category,Payment,Start/Stop Mileage,Receipt - Excel File Link
12/31/15,,USD,9.00,Drinks,Cash,,
12/31/15,,USD,11.00,Drinks,Cash,,
1/1/16,Entrance,USD,26.00,GunsAmmo,Cash,,
1/1/16,ReadingGlasses,USD,30.00,Medical,Cash,,
1/1/16,,USD,30.00,Agau,Cash,,
1/1/16,Ammo,USD,105.00,GunsAmmo,Cash,,
1/1/16,Knives,USD,75.00,GunsAmmo,Cash,,
1/1/16,Hat,USD,15.00,Clothing,Cash,,
1/1/16,,USD,75.00,Rosario,Cash,,
1/1/16,,USD,17.00,Drinks,Cash,,
1/1/16,,USD,8.50,Drinks,Cash,,
1/1/16,,USD,18.00,Drinks,Cash,,
1/2/16,P2.539,USD,10.00,Fuel,Cash,,
1/2/16,,USD,60.00,Spa,Cash,,
1/2/16,,USD,10.00,Cover Charge,Cash,,
1/2/16,,USD,10.00,Drinks,Cash,,
1/2/16,,USD,20.00,Snack,Cash,,
1/2/16,"P2,439",USD,5.00,Fuel,Cash,,
1/3/16,,USD,7.42,Starbucks,Cash,,
1/3/16,P2.539,USD,20.00,Fuel,Cash,,
1/3/16,,USD,46.68,Groceries,Cash,,
1/4/16,,USD,18.31,Groceries,Cash,,
1/4/16,,USD,20.00,Medical,Cash,,
1/5/16,,USD,8.00,Lunch,Cash,,
1/5/16,,USD,3.45,Starbucks,Cash,,
1/5/16,,USD,3.75,Snack,Cash,,
1/5/16,,USD,10.24,Groceries,Cash,,
1/6/16,,USD,2.99,Groceries,Cash,,
1/6/16,,USD,4.00,MiscSnack,Cash,,
1/6/16,,USD,8.18,Lunch,Cash,,
1/7/16,,USD,5.57,Starbucks,Cash,,
1/7/16,P2.359,USD,20.00,Fuel,Cash,,
1/7/16,,USD,7.99,Lunch,Cash,,
1/7/16,,USD,2.58,Starbucks,Cash,,
1/7/16,,USD,22.95,DrewTime,Cash,,
1/8/16,,USD,5.00,Cover Charge,Cash,,
1/8/16,,USD,8.00,Drinks,Cash,,
1/8/16,,USD,10.54,Lunch,Cash,,
1/8/16,,USD,36.32,Groceries,Cash,,
1/8/16,,USD,8.00,Drinks,Cash,,
1/8/16,,USD,8.00,Drinks,Cash,,
1/8/16,,USD,8.75,Drinks,Cash,,
1/9/16,,USD,23.86,Groceries,Cash,,
1/9/16,,USD,2.07,Starbucks,Cash,,
1/9/16,,USD,3.98,Snack,Cash,,
1/9/16,,USD,14.00,Dinner,Cash,,
1/9/16,,USD,5.00,Cover Charge,Cash,,
1/9/16,,USD,8.00,Drinks,Cash,,
1/9/16,P2.299,USD,20.00,Fuel,Cash,,
1/9/16,,USD,7.42,Smokes,Cash,,
1/10/16,,USD,24.66,Snack,Cash,,
1/10/16,Rosario,USD,21.50,Date,Cash,,
1/10/16,,USD,46.00,Dinner,Cash,,
1/10/16,,USD,7.65,Groceries,Cash,,
1/11/16,KickedUpBoxing,USD,55.00,Spa,Cash,,
1/11/16,,USD,26.52,Groceries,Cash,,
1/11/16,KneeACL,USD,20.00,Medical,Cash,,
1/11/16,,USD,12.03,Groceries,Cash,,
1/12/16,,USD,9.33,Lunch,Cash,,
1/12/16,,USD,8.50,Starbucks,Cash,,
1/12/16,,USD,21.49,Groceries,Cash,,
1/13/16,,USD,9.08,Lunch,Cash,,
1/13/16,,USD,14.77,Groceries,Cash,,
1/13/16,,USD,50.00,HomeMaintenance,Cash,,
1/14/16,,USD,2.92,Starbucks,Cash,,
1/14/16,,USD,9.00,Lunch,Cash,,
1/14/16,,USD,9.14,Groceries,Cash,,
1/14/16,"P2,439",USD,10.00,Fuel,Cash,,
1/15/16,,USD,40.00,Drinks,Cash,,
1/15/16,,USD,14.73,Groceries,Cash,,
1/15/16,,USD,12.66,DrewTime,Cash,,
1/16/16,,USD,11.33,Groceries,Cash,,
1/16/16,P2.459,USD,5.00,Fuel,Cash,,
1/16/16,AirFreshoner,USD,2.73,Miscellaneous,Cash,,
1/16/16,,USD,6.52,DrewTime,Cash,,
1/16/16,P2.239,USD,25.00,Fuel,Cash,,
1/16/16,,USD,6.53,Drinks,Cash,,
1/16/16,,USD,30.00,Drinks,Cash,,
1/16/16,,USD,20.00,Drinks,Cash,,
1/16/16,,USD,35.00,Drinks,Cash,,
1/17/16,,USD,10.00,Drinks,Cash,,
1/18/16,,USD,2.98,Starbucks,Cash,,
1/18/16,,USD,8.00,Lunch,Cash,,
1/18/16,,USD,2.50,Snack,Cash,,
1/18/16,,USD,14.87,Groceries,Cash,,
1/19/16,,USD,24.77,Groceries,Cash,,
1/19/16,"P2,439",USD,5.00,Fuel,Cash,,
1/19/16,,USD,18.61,Groceries,Cash,,
1/20/16,,USD,7.08,Lunch,Cash,,
1/20/16,,USD,2.50,MiscSnack,Cash,,
1/20/16,,USD,20.00,Medical,Cash,,
1/21/16,P2.519,USD,6.00,Fuel,Cash,,
1/21/16,,USD,30.00,Haircut,Cash,,
1/21/16,,USD,47.96,Groceries,Cash,,
1/21/16,"P2,439",USD,30.00,Fuel,Cash,,
1/21/16,,USD,6.50,Groceries,Cash,,
1/21/16,,USD,43.50,Drinks,Cash,,
1/22/16,,USD,22.84,Drinks,Cash,,
1/22/16,,USD,43.52,Groceries,Cash,,
1/22/16,,USD,39.68,Groceries,Cash,,
1/22/16,R1.859,USD,30.00,Fuel,Cash,,
1/22/16,,USD,21.69,Groceries,Cash,,
1/25/16,,USD,48.00,Drinks,Cash,,
1/25/16,,USD,7.00,Miscellaneous,Cash,,
1/26/16,,USD,5.35,Starbucks,Cash,,
1/26/16,,USD,7.77,Groceries,Cash,,
1/26/16,,USD,9.95,Lunch,Cash,,
1/26/16,,USD,9.97,Groceries,Cash,,
1/26/16,,USD,4.23,Groceries,Cash,,
1/27/16,,USD,20.00,Medical,Cash,,
1/27/16,,USD,6.25,Lunch,Cash,,
1/27/16,,USD,2.92,Starbucks,Cash,,
1/27/16,P2.549,USD,10.00,Fuel,Cash,,
1/28/16,,USD,2.92,Starbucks,Cash,,
1/28/16,,USD,12.00,Starbucks,Cash,,
1/28/16,,USD,21.90,DrewTime,Cash,,
1/28/16,,USD,6.50,DrewTime,Cash,,
1/29/16,P2.399,USD,15.00,Fuel,Cash,,
1/29/16,,USD,7.57,Lunch,Cash,,
1/29/16,,USD,14.95,BMWmaintenance,Cash,,
1/29/16,P2.349,USD,15.00,Fuel,Cash,,
1/29/16,,USD,20.00,Parking,Cash,,
1/29/16,,USD,7.90,Smokes,Cash,,
1/29/16,,USD,27.00,Drinks,Cash,,
1/29/16,,USD,25.00,Drinks,Cash,,
1/29/16,,USD,8.00,Drinks,Cash,,
1/30/16,,USD,8.75,Drinks,Cash,,
1/30/16,,USD,20.00,Lunch,Cash,,
1/30/16,,USD,12.00,Breakfast,Cash,,
1/30/16,P2.519,USD,10.00,Fuel,Cash,,
